abname	spCorr	p_val
X14.3.3_epsilon.M.C_GBL9026348	0.303952783346176	0.393201096325033
X4E.BP1.R.V_GBL9026169	0.66060608625412	0.0375883675272259
X4E.BP1_pS65.R.V_GBL9026170	0.927272737026215	0.000112034447641074
X53BP1.R.C_GBL9026171	-0.806060612201691	0.0048620605246823
ACC_pS79.R.V_GBL9026172	0.357575744390488	0.310376110839209
ACC1.R.C_GBL9026173	-0.733333349227905	0.0158005928169744
AIB1.M.V_GBL9026302	-0.781818211078644	0.00754700402031316
Akt.R.V_GBL9026174	-0.842424213886261	0.00222003275351312
Akt_pS473.R.V_GBL9026175	0.539393961429596	0.107593170598888
Akt_pT308.R.V_GBL9026176	0.41818180680275	0.229112854966206
alpha.Catenin.M.V_GBL9026304	0.778119087219238	0.0080331396635378
AMPK_alpha.R.C_GBL9026177	-0.0909090936183929	0.802771725426293
AMPK_pT172.R.V_GBL9026178	0.818181812763214	0.00381492051076338
Annexin_I.R.V_GBL9026179	0.769696950912476	0.00922195550412752
AR.R.V_GBL9026335	-0.41818180680275	0.229112854966206
Bad_pS112.R.V_GBL9026336	0.939393937587738	5.48405364009241e-05
Bak.R.C_GBL9026182	-0.600000023841858	0.0666879863281258
Bax.R.V_GBL9026183	-0.24848484992981	0.488776301908481
Bcl.2.M.V_GBL9026303	-0.103030301630497	0.776998466409483
Bcl.X.R.C_GBL9026338	0.369696974754333	0.293050068174233
Bcl.xL.R.V_GBL9026339	0.781818211078644	0.00754700402031316
Beclin.G.V_GBL9026330	NaN	NaN
beta.Catenin.R.V_GBL9026194	0.406060606241226	0.244282293856507
Bid.R.C_GBL9026340	0.296969711780548	0.404701646709516
Bim.R.V_GBL9026351	0.878787875175476	0.000813862205061078
c.Jun_pS73.R.C_GBL9026231	-0.127272725105286	0.726057019277377
c.Kit.R.V_GBL9026344	0.709090888500214	0.0216659289034102
c.Met.M.C_GBL9026314	0.636363625526428	0.0479117311246462
c.Met_pY1235.R.C_GBL9026236	-0.866666674613953	0.0011735379121256
c.Myc.R.C_GBL9026241	0.709090888500214	0.0216659289034102
C.Raf.R.V_GBL9026278	0.309090912342072	0.384841224999186
C.Raf_pS338.R.C_GBL9026279	0.915151536464691	0.000204472206099204
Caspase.3_active.R.C_GBL9026352	0.41818180680275	0.229112854966206
Caspase.7_cleavedD198.R.C_GBL9026353	0.830303013324738	0.00294022813612127
Caspase.9_cleavedD330.R.C_GBL9026193	-0.00606060586869717	0.986742911614744
Caveolin.1.R.V_GBL9026195	-0.781818211078644	0.00754700402031316
CD31.M.V_GBL9026349	-0.624242424964905	0.0537177668578734
CDK1.R.V_GBL9026196	0.806060612201691	0.0048620605246823
Chk1.R.C_GBL9026197	NaN	NaN
Chk1_pS345.R.C_GBL9026198	NaN	NaN
Chk2.M.C_GBL9026306	NaN	NaN
Chk2_pT68.R.C_GBL9026199	NaN	NaN
cIAP.R.V_GBL9026200	-0.528877794742584	0.115991343726538
Claudin.7.R.V_GBL9026201	0.030303031206131	0.933772956124051
Collagen_VI.R.V_GBL9026202	-0.454545468091965	0.186904795550308
COX.2.R.C_GBL9026203	-0.127272725105286	0.726057019277377
Cyclin_B1.R.V_GBL9026204	0.503030300140381	0.138333701029167
Cyclin_D1.R.V_GBL9026205	0.175757572054863	0.627188352148502
Cyclin_E1.M.V_GBL9026308	-0.721212148666382	0.0185731484538234
DJ.1.R.C_GBL9026206	-0.890909075737	0.000542144516154419
Dvl3.R.V_GBL9026207	-0.878787875175476	0.000813862205061078
E.Cadherin.R.V_GBL9026188	0.103030301630497	0.776998466409483
eEF2.R.V_GBL9026208	-0.503030300140381	0.138333701029167
eEF2K.R.V_GBL9026209	-0.127272725105286	0.726057019277377
EGFR.R.C_GBL9026210	-0.563636362552643	0.0897240290701318
EGFR.CST2232..R.C_GBL9026334	-0.478787869215012	0.161522937605969
EGFR_pY1068.R.V_GBL9026211	0.58787876367569	0.0738777217256548
EGFR_pY1173.R.C_GBL9026212	0.442424237728119	0.200422692056088
EGFR_pY992.R.V_GBL9026213	0.442424237728119	0.200422692056088
eIF4E.R.V_GBL9026214	0.175757572054863	0.627188352148502
ER.alpha.R.V_GBL9026215	-0.296969711780548	0.404701646709516
ER.alpha_pS118.R.V_GBL9026217	0.903030276298523	0.000343612565232743
ERCC1.M.C_GBL9026309	0.115151517093182	0.751419648245182
FAK.R.C_GBL9026218	-0.151515156030655	0.676065166784972
Fibronectin.R.C_GBL9026216	-0.575757563114166	0.0815528230353175
FOXO3a.R.C_GBL9026219	-0.903030276298523	0.000343612565232743
FOXO3a_pS318_S321.R.C_GBL9026220	-0.58787876367569	0.0738777217256548
GATA3.M.V_GBL9026310	0.200000002980232	0.579583994232178
GSK3.alpha.beta.M.V_GBL9026312	0.515151500701904	0.127552882234373
GSK3.alpha.beta_pS21_S9.R.V_GBL9026222	-0.41818180680275	0.229112854966206
GSK3_pS9.R.V_GBL9026221	0.260606050491333	0.467089072303455
HER2.M.V_GBL9026313	-0.478787869215012	0.161522937605969
