V1	V2	V3
X14.3.3_epsilon.M.C_GBL9026348	0.0856620544567069	-3.03502199958523	-2.31922617740263
X4E.BP1.R.V_GBL9026169	8.25119439699521	3.93103906532342	1.32469982712735
X4E.BP1_pS65.R.V_GBL9026170	-6.81122992111964	2.03203946516519	11.0632163034572
X53BP1.R.C_GBL9026171	-0.970634405884397	5.38421714947479	5.50573291833454
ACC_pS79.R.V_GBL9026172	0.387065089273757	1.19564947416585	-2.31741817380733
ACC1.R.C_GBL9026173	-1.40416755632892	1.79267286471118	-3.82138973955068
AIB1.M.V_GBL9026302	-1.63934597034432	2.73577913313333	-0.728003685773367
Akt.R.V_GBL9026174	0.0766914366915223	4.24285451734896	3.24763771365724
Akt_pS473.R.V_GBL9026175	7.53922564793407	21.8301645251864	4.65980579403284
Akt_pT308.R.V_GBL9026176	11.6422463292112	23.3868424755088	-0.400731769161691
alpha.Catenin.M.V_GBL9026304	3.39768935875916	-2.07466451852815	-2.85425396643795
AMPK_alpha.R.C_GBL9026177	1.39798403107771	-0.431040306966029	1.51084449252459
AMPK_pT172.R.V_GBL9026178	1.17837098159481	-4.51133405489743	2.1093808123
Annexin_I.R.V_GBL9026179	-2.69803684916038	2.1404329447412	-3.55081595526951
AR.R.V_GBL9026335	-8.62926361701845	-5.42267560263674	-4.60095017094889
Bad_pS112.R.V_GBL9026336	-0.592789125167739	0.501623387872687	3.92359613917611
Bak.R.C_GBL9026182	-0.866411692852966	-0.662436170931095	-1.23560348031577
Bax.R.V_GBL9026183	4.14994773706756	1.80249193084675	-6.99058394618199
Bcl.2.M.V_GBL9026303	6.64873897829652	3.45959292598642	7.27098907817789
Bcl.X.R.C_GBL9026338	7.12795343244111	2.46347093291095	-1.55942594004076
Bcl.xL.R.V_GBL9026339	-1.40341662286381	4.02909757032315	-10.3237557445305
Beclin.G.V_GBL9026330	0	0	0
beta.Catenin.R.V_GBL9026194	-2.89121359809828	2.79885000266953	-0.401896788636732
Bid.R.C_GBL9026340	-5.10755834292633	1.32849530587145	-2.58101878179913
Bim.R.V_GBL9026351	0.354711142807001	-9.64093011363252	3.62283591721808
c.Jun_pS73.R.C_GBL9026231	4.73559087286741	0.964645932853537	9.02433001569095
c.Kit.R.V_GBL9026344	-2.94798254380235	2.82248733197231	-1.97138489906802
c.Met.M.C_GBL9026314	-0.205068970205124	3.34982957232827	2.72923836543748
c.Met_pY1235.R.C_GBL9026236	11.7551016536103	-1.13342448948547	1.19904630077506
c.Myc.R.C_GBL9026241	-3.2220689177606	6.7328540152678	13.9604048614417
