ID1	changeInclude	change	FDRp
p21.R.V_GBL1033880	11.6722045607604	11.6722045607604	0.675388890876622
Mcl.1.R.V_GBL1033861	9.66060320097967	9.66060320097967	0.402718097021647
PDGFR.beta.R.V_GBL1033862	8.52014614946732	8.52014614946732	0.088634787611835
PDK1.R.V_GBL1033813	6.98677142721301	6.98677142721301	0.0919408208323343
EGFR.R.V_GBL1033837	6.77864001593303	6.77864001593303	0.923069812179751
JNK2.R.C_GBL1033799	6.76084490141355	6.76084490141355	0.86723465913528
p38.R.V_GBL1033807	6.69568892612292	6.69568892612292	0.726141472405365
INPP4b.R.V_GBL1033826	6.65292522404272	6.65292522404272	0.282271987986491
Rad51.R.V_GBL1033870	6.28491995977887	6.28491995977887	0.734880828255525
N.Ras.M.V_GBL1033944	5.93460318767377	5.93460318767377	0.808126659281567
RSK.R.C_GBL1033739	0	5.76731852856014	0.990493813563089
DJ1.R.V_GBL1033777	0	5.53174486572608	0.938886115906435
MEK1.R.V_GBL1033802	0	5.41593027936488	1
Akt.R.V_GBL1033833	0	5.24869651406118	0.354863160809116
Src_pY527.R.V_GBL1033726	0	4.98943534565176	0.828599637602965
p70.S6K1.R.V_GBL1033810	0	4.87009322575446	0.947458991334764
IGFBP2.R.V_GBL1033922	0	4.69042073145066	0.088634787611835
X4E.BP1.R.V_GBL1033914	0	4.5500908581401	0.275586433690071
GPBB.R.V_GBL1033868	0	4.32967346427297	0.088634787611835
Fibronectin.R.V_GBL1033958	0	4.31596501502817	0.947458991334764
E2F1.M.V_GBL1033938	0	4.30640390809448	1
HIAP.R.C_GBL1033783	0	4.07122800159887	0.734880828255525
TTF1.R.V_GBL1033830	0	3.88431030834763	0.398422456001137
Heregulin.R.V_GBL1033776	0	3.78313338213552	0.877653313751761
p53.R.C_GBL1033956	0	3.69989464555622	0.759746170979348
HER2_pY1248.R.C_GBL1033827	0	3.6176680604851	0.808126659281567
CD29.M.V_GBL1033911	0	3.61046814554812	0.759746170979348
ATM_pS1981.R.V_GBL1033875	0	3.48487403682672	0.675388890876622
PDK1_pS241.R.V_GBL1033814	0	3.3119304040142	0.088634787611835
c.Kit.R.V_GBL1033690	0	3.29292921409611	1
NDRG1_pT346.R.V_GBL1033842	0	3.25674367845296	0.282271987986491
Lck.R.V_GBL1033800	0	3.24489770875176	0.121993978998483
PKC.alpha_pS657.R.C_GBL1033816	0	3.02207955375024	0.734880828255525
eIF4G.R.C_GBL1033840	0	2.95675488096234	0.734880828255525
p38.alpha.M.V_GBL1033908	0	2.86070261624545	1
MEK2.R.V_GBL1033866	0	2.67774874360165	0.947458991334764
G6PD.M.V_GBL1033940	0	2.65080374961431	0.923069812179751
Caveolin.1.R.V_GBL1033687	0	2.65075913518378	1
JAB1.M.C_GBL1033943	0	2.64919599708707	0.0919408208323343
GSK.3ab.M.V_GBL1033941	0	2.64785176782562	0.341866462647987
Rb.M.QC_GBL1033895	0	2.61066150117003	0.386321112816064
PKC.alpha.M.V_GBL1033894	0	2.58938945192112	1
Myosin.IIa_pS1943.R.V_GBL1033853	0	2.38792134934558	0.990493813563089
ACC1.R.E_GBL1033674	0	2.33499524087163	0.889732386702485
MSH6.R.C_GBL1033824	0	2.32016981693954	1
Rad50.M.V_GBL1033904	0	2.31035831673734	0.402718097021647
HER2.M.V_GBL1033942	0	2.30921934378933	1
N.Cadherin.R.V_GBL1033805	0	2.23732262692681	0.726141472405365
PEA.15_pS116.R.V_GBL1033790	0	2.16132938213975	0.708740471578994
A.Raf.R.V_GBL1033858	0	2.10336142873001	0.751015939287135
PMS2.R.V_GBL1033867	0	1.93393370940329	1
Cyclin.E1.M.V_GBL1033936	0	1.8822062326775	0.088634787611835
Rictor.R.C_GBL1033844	0	1.85794279553543	0.947458991334764
CD31.M.V_GBL1033933	0	1.84615765517209	0.409863124429716
ADAR1.M.V_GBL1033909	0	1.69889330054923	0.816678402743723
Bak.R.C_GBL1033678	0	1.68170706710283	0.820098489236154
ATP5H.M.C_GBL1033913	0	1.67976562625178	0.938886115906435
NF.kB.p65_pS536.R.C_GBL1033806	0	1.66769388550248	0.440948284473879
Annexin.I.M.V_GBL1033912	0	1.3097604787044	0.923069812179751
Gys.R.V_GBL1033818	0	1.28638393733014	0.687270761340418
Stat5a.R.V_GBL1033728	0	1.27870949793369	1
eEF2K.R.V_GBL1033823	0	1.23136931847675	1
FASN.R.V_GBL1033852	0	1.08445812528521	1
Rictor_pT1135.R.V_GBL1033845	0	0.994988770460462	0.838510129430338
Histone.H3.R.V_GBL1033869	0	0.98079244256923	0.440948284473879
p27_pT198.R.V_GBL1033774	0	0.975459563527835	1
ERCC1.M.V_GBL1033939	0	0.940166453511935	0.0919408208323343
PI3K.p85.R.V_GBL1033815	0	0.924667411896432	0.808126659281567
SETD2.R.QC_GBL1033820	0	0.907816141329048	1
PAI.1.M.V_GBL1033891	0	0.886926091027009	0.227419954697499
TAZ.R.V_GBL1033741	0	0.875364708885401	0.402718097021647
Snail.M.QC_GBL1033897	0	0.864091124266931	NA
PKC.beta.II_pS660.R.V_GBL1033846	0	0.706241115852736	0.808664307779197
Ets.1.R.V_GBL1033886	0	0.66942454500322	1
Merlin.R.C_GBL1033821	0	0.64728687334918	0.726141472405365
Porin.M.V_GBL1033946	0	0.621735138369171	0.808126659281567
PKC.delta_pS664.R.V_GBL1033784	0	0.619039477723879	1
E.Cadherin.R.V_GBL1033835	0	0.597155629435466	1
eEF2.R.C_GBL1033822	0	0.582329474047206	0.420062323214339
VEGFR.2.R.V_GBL1033731	0	0.576126766489107	NA
Stat3_pY705.R.V_GBL1033727	0	0.51913165258202	0.556202691256905
Dvl3.R.V_GBL1033785	0	0.446297197664317	0.169099709540192
b.Catenin.R.V_GBL1033680	0	0.416316889611597	1
Gab2.R.V_GBL1033786	0	0.346582352081352	0.708740471578994
c.Jun_pS73.R.V_GBL1033689	0	0.320141326843288	1
EGFR_pY1173.R.V_GBL1033695	0	0.303769140865718	1
PR.R.V_GBL1033720	0	0.224510601898657	1
AMPK.alpha_pT172.R.V_GBL1033676	0	0.19106175332445	1
EGFR_pY1068.R.C_GBL1033694	0	0.183019161473435	0.282271987986491
SF2.M.V_GBL1033906	0	0.16135210214332	0.990493813563089
GATA3.M.V_GBL1033951	0	0.150520227480252	NA
p27_pT157.R.C_GBL1033772	0	0.131985257800518	0.088634787611835
MIG6.M.V_GBL1033905	0	0.0879270219079593	1
Tuberin_pT1462.R.V_GBL1033730	0	0.0626364613856244	0.363140029409596
BRCA2.R.C_GBL1033740	0	0.0261162960804153	0.388346871365287
ACVRL1.R.C_GBL1033834	0	0	NA
Beclin.G.C_GBL1033953	0	0	0.734880828255525
Chk1.M.C_GBL1033910	0	0	0.584564482232913
Chk1_pS345.R.C_GBL1033780	0	0	NA
Chk2.M.V_GBL1033889	0	0	NA
Chk2_pT68.R.C_GBL1033688	0	0	NA
Complex.II.Subunit.M.V_GBL1033934	0	0	0.759746170979348
GAPDH.M.C_GBL1033890	0	0	1
PARP.cleaved.M.QC_GBL1033892	0	0	1
PARP1.R.V_GBL1033887	0	0	NA
PCNA.M.C_GBL1033893	0	0	1
Smad1.R.V_GBL1033782	0	0	0.726141472405365
Smad3.R.V_GBL1033743	0	0	NA
Smad4.M.V_GBL1033947	0	0	NA
TIGAR.R.V_GBL1033836	0	0	0.088634787611835
UBAC1.R.V_GBL1033872	0	0	0.282271987986491
UQCRC2.M.C_GBL1033949	0	0	0.947458991334764
XRCC1.R.C_GBL1033781	0	0	1
Rab11.R.E_GBL1033832	0	-0.0498509892306281	0.354863160809116
TWIST.M.C_GBL1033888	0	-0.0959728075200209	1
ARHI.M.C_GBL1033929	0	-0.168170036716791	1
b.Catenin_pT41_S45.R.V_GBL1033855	0	-0.195946877044485	1
Transglutaminase.M.V_GBL1033901	0	-0.236854036827085	NA
c.Met.M.QC_GBL1033899	0	-0.268903168926244	0.526977747858929
B.Raf.M.C_GBL1033932	0	-0.278631359529013	1
FAK_pY397.R.V_GBL1033863	0	-0.324907175170571	0.667830991483342
SCD.M.V_GBL1033945	0	-0.350841646388081	0.088634787611835
Cox.IV.M.C_GBL1033935	0	-0.39415807810668	NA
Gys_pS641.R.V_GBL1033819	0	-0.436927517837217	0.923069812179751
Paxillin.R.C_GBL1033812	0	-0.439203761486168	NA
