V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
X14.3.3_epsilon.M.C_GBL9026348	-2.0127734847714	4.70664226152195	0.651226300298358	-2.20068241292567	-3.29615686462879	2.42665765387984	-3.60357479685786	0.0655260987405508	-2.06293866023484	1.66970129394332	-4.04272615777702	-2.76966619739677	-2.02523299901667	0.705087339480033	-0.240846610714084	3.3492832502003	1.06948058623626	-0.575050513613944	-2.65480849007588	1.64950176210914	6.67726877758494	7.5337415699697	1.03854391034553	-3.05442227692084	-0.720446251821979	-4.92896962160639	-3.72766391012111	0.255948782276779	-1.48916455266559	1.56295765430504
X4E.BP1.R.V_GBL9026169	-2.41139434782181	-0.0798907780217293	-0.198200085062035	-2.84424973702604	3.30442337709825	-3.50002499031931	5.08552311415922	-3.61649870374973	1.23387569718552	4.10762161695075	0.784886425533849	2.53294156526374	0.110602677590067	-2.4738547047049	5.11553144771182	0.416841077564998	-0.301265235045548	2.93720381503591	2.1185898987197	-1.16076131313595	3.24896728116441	-2.27643099052287	4.14327970851175	1.55601486435858	-0.424120114971265	4.02020899929168	2.05171569886844	1.13192351407433	8.52639260438845	-2.19144773010072
X4E.BP1_pS65.R.V_GBL9026170	2.55366469323208	-1.04569713073102	-0.721141150195922	0.718836055604163	2.55369513223165	7.26682471955816	0.693549434515213	-4.61690161396164	-3.18667843247006	-0.452718236254178	-4.92244275551288	0.665711205623669	-0.0668953449984948	0.0838992483176425	-2.19415301058411	-2.13951467940469	3.201489359383	1.70214351085284	0.650140420145381	-2.02656480748622	-3.66178963348359	2.63924476045479	-3.03990959782042	-1.30813863435025	-3.42433136073233	4.35277256847915	4.67024555910521	-3.34254103060162	-2.03556372208652	-0.28956711411736
X53BP1.R.C_GBL9026171	-2.01679657458874	-1.42967302859372	-7.43460698520054	3.21697294514471	-4.20028433420104	0.0955290774994706	-5.07786788166687	2.58208908221761	-1.75796663557597	3.90200712117618	-0.423514208017677	-5.02878262254164	1.07798246922109	-1.2134423327922	-2.83399166640262	-1.28792321891877	2.20209880482018	-1.05501222028575	1.08325892804741	2.3255385741009	4.2341608448184	3.91064240960497	3.94224489702443	-6.55366482655415	-3.78540083612798	0.765388279678516	0.161503400879201	5.95959183305833	2.30223822918045	-1.46750504984649
ACC_pS79.R.V_GBL9026172	-1.09232655665727	2.00331856209918	-2.61269674971754	1.81519475026755	1.20770014979461	-0.608589231709992	0.0761885653101733	-2.59157636232995	2.97900546237609	0.957281038024994	-0.456265115500037	-2.03984792210871	-1.34199488133821	-6.00361760193754	1.21203153315344	6.44513821811161	3.11459741265467	1.93470189898129	-0.45756365330357	-3.28083921936969	-1.53756635496924	-1.72956433815721	2.02987605998538	8.52975618217843	-1.72246241956911	4.12488408207089	2.27253052063355	0.0652612049828924	2.93953039828221	-1.84402246727432
ACC1.R.C_GBL9026173	3.14308703492647	-1.14113276026442	4.93395280664509	2.95319926921851	2.77539170298448	6.5109811198285	6.98268476679713	-3.84546290798567	-0.448595067204039	-1.53589659882574	-2.17567300314347	1.93325145450239	-0.0717877800310482	-3.5203278387333	0.657643425769152	3.52870326843352	-0.364873297123482	-0.863420928030859	-3.20523385897541	3.47283516813941	-3.5116268978576	1.31335980764953	-2.00210313753002	-4.56745643019613	1.535700384839	-0.168542174246999	3.78859363509018	-0.285693897285833	2.88534492122981	-5.22578525846229
AIB1.M.V_GBL9026302	-0.745736149186382	-0.889695354912531	4.44302507211666	1.70739395419752	-6.47732672319973	0.868968823907769	-0.162329941481512	-2.74509916732892	1.91401594435745	4.54695015583819	-5.2361228249982	-0.322113657012151	0.116951209961637	-0.219162961566238	-3.08575251825537	4.22753239934222	1.46235734462633	-2.7401205984512	8.71668901289129	3.324084687497	1.26560436407774	1.59815463422947	5.93664906540204	-2.25711959916696	-0.0893570533455181	3.97689910838819	6.99736942968688	3.35650044277194	5.2015473296458	4.35796324941279
Akt.R.V_GBL9026174	-4.23512644765513	1.57997570979136	-0.298999827965327	-0.103849527183178	5.15289272888694	1.96853568207453	-0.94105067355094	-0.230364453896899	-0.189086430213487	-2.05383166016974	-1.12524756666763	4.09427264249504	-0.0492940163119654	1.64377424761198	3.82346317864988	3.05383155148559	2.77060882412129	0.00295098811794953	2.27256551593179	2.26380359666184	-4.18307486067457	1.61593386708992	-0.682928921625503	-4.11391784252	4.38425136843734	-0.718129797628946	-4.82689606026323	-0.715579482422143	5.29149429789237	3.03115296834299
Akt_pS473.R.V_GBL9026175	1.69239083421682	-2.56895478475476	4.00587023185474	-7.77359412227566	-2.16114939229606	-1.27056992852381	-1.95024238790146	-0.292083494321153	3.69985709470609	-2.99227080991702	6.70104656729694	-2.63393112621661	-0.243138028438888	4.97254012312768	-1.36452997069436	3.12283412172794	0.653535406765911	2.70651522326361	4.88026457087817	-0.19779154078788	0.224917162370699	-0.982581061589127	0.415046549792999	-7.29832594173529	2.76842023916464	6.42466365478631	-0.806061292743866	2.34868199248105	5.29587966349205	-1.34045960642094
Akt_pT308.R.V_GBL9026176	2.9281913302661	2.97623278640982	4.13824033444413	-0.925008190663122	-0.259230519491141	2.38946005171963	3.73921614592772	1.56542344720958	-0.730955550998727	-0.68884959152128	-1.06175182649479	1.69170134283867	1.00638684117324	-0.556249749685865	2.85689050028829	-3.87289750890321	-0.504640860178403	-2.86739230210787	-5.37328979051548	-3.35574308495284	-0.787445827644002	-6.76025361420383	-0.264185859111183	-2.57386802019686	0.032283462880813	-1.47703490001585	-2.00052210549305	0.848960971958867	0.025626285537361	1.87352115581623
alpha.Catenin.M.V_GBL9026304	-2.04916055731132	-0.581651032431912	-1.40668148309137	1.3563591359172	1.73457129227975	0.226689595352864	2.5886740650947	1.4175332992695	-4.4604727207418	1.9173348753335	-8.96847263828094	-0.578466167704086	3.32092810776512	-0.374144501797515	1.70176975242067	-2.37757088217856	-3.80346345504689	-0.834837929608282	2.21730708663567	-3.13281131580362	-2.20011357105622	-6.92220598999639	-3.79636877919018	-1.4961853882582	1.58146940246519	1.31364750491115	-1.19647477014575	-3.53409527703021	-0.2696157082817	1.89514510779638
AMPK_alpha.R.C_GBL9026177	-0.686156873981051	-2.29405107984717	-0.998877303286292	4.16342325754094	-5.22247895510365	-1.16053687785074	-1.45630261633587	7.39741850537564	-0.457124557994658	-0.702223702630626	-1.12039964149485	-1.35386741010703	1.92373992745629	-1.27533153141199	2.97663304940834	2.05961533299993	-1.72758950395488	-2.58578465254153	3.48782302873892	6.06713264094399	-1.90701285081195	-1.95223832495985	0.417325824190888	1.60082120607073	5.48730085217422	3.16465747072874	2.13126644211309	2.96466257134888	1.72333408012208	0.701835662221219
AMPK_pT172.R.V_GBL9026178	-4.69245681933617	0.692755501070308	-3.45043723105665	-3.85022223178991	-5.03075275431337	1.94439744171591	0.88443415694048	-2.78827568708726	-1.03611168147362	-3.13556772755856	1.54107894031438	1.62876973136565	-0.460096152617029	-2.46848015438687	-1.1701117150507	-1.71708906033002	0.677057827195233	1.03020799964476	4.00985615383196	3.0469938290452	2.99207555228448	3.07800062453553	0.655677237702051	3.28650831251752	0.805179967257824	6.4404097465275	1.20421762045075	1.47665199445473	5.24306367034267	1.98464141033008
Annexin_I.R.V_GBL9026179	5.39552282391084	3.63461477138099	7.84161393186013	6.61496723452915	-2.69190173258181	0.607801312908479	-1.16005342642436	5.48835894640901	-8.07597601911714	1.64999356746591	-4.54995613266979	1.41717638423035	1.55611205153648	0.722760564206946	3.27278329814872	0.861563978140442	-0.301609568918016	-4.38333986042246	-5.82286411412168	0.234624571476616	0.837866679970293	-5.20827237654755	1.46669690229999	-1.81199471229115	0.0618218538641208	1.27849044481613	-2.31691315901756	-4.853716042949	7.33313309687541	1.54204213556935
AR.R.V_GBL9026335	-0.764698231102357	-0.223935210819141	1.54591810570327	-2.77971607670533	-3.02900309922606	-0.972889655733825	1.58422223536668	-4.63080270787169	-1.15880958244219	-0.139479289230172	-2.00229109052456	4.97199864775357	-1.99192920406625	2.72220154561266	0.314380610828562	1.74043445250606	-2.51654319951552	-1.31380643104782	5.3020380214323	5.31587766217403	-0.762235097511197	3.52113323820995	-3.52387714676603	-1.45361691473913	-2.41842184057094	3.60959492056429	0.842077571935806	-3.5193321140807	2.78922922120235	-1.63663739486353
Bad_pS112.R.V_GBL9026336	3.06349994682751	0.151358123881518	3.35760487014374	3.64373138764508	-4.22598424940579	-3.94684882300501	4.76119361973151	0.0374436299699109	-3.74115019328066	1.70565030600376	-6.17033951372613	2.50301311038147	-3.56199870494421	-2.44387810149308	-1.41005611431931	1.84851309049333	-2.43878112199558	4.870343388997	-0.417817838644504	3.17913748601265	3.86145636735146	-7.62704116084942	-3.51570427488434	0.0990859119590022	3.92250124721384	-0.385399746045457	2.50700212986425	-7.34665643299209	-1.18652893330629	3.08333758789585
Bak.R.C_GBL9026182	-0.655410215198565	-0.141574680499895	0.374987658992132	-1.40574849112224	-0.63256119366247	-5.18503819177542	-0.351069935301333	0.985660534593535	-1.66198194019426	0.181875108794191	3.49817848057925	-2.93825830289246	2.58283656341583	2.72085447984444	-6.6127335636818	-4.19797607723652	-2.269394872374	2.36198855963399	-1.97369925428813	-0.29950195514404	1.1711254303563	0.673364588701974	2.35584282290727	-8.12014300654694	1.34644425839218	-0.713940461770364	0.540173786070531	6.00505952444658	-0.387711240892933	5.01434242623061
Bax.R.V_GBL9026183	-6.6516465348571	-4.57788360786384	-3.22653581690182	1.74099356599043	-6.00639826596959	-5.75884259653352	3.69827356623764	-0.784365126100312	-3.23966879538071	3.00526184625542	3.62074049585616	2.45131541488775	-2.3142206709443	0.176016152797255	2.51619648835617	1.27915616001453	1.52138346964285	0.613738642919632	0.731992049798814	-0.691980788532164	-2.75727060119303	-0.539923706741137	4.65031783228893	1.83674270795293	0.374318036914355	-0.836123027744902	1.05130699518927	-2.09395781880104	3.77376770863447	2.06932918953204
Bcl.2.M.V_GBL9026303	3.86616294720738	-0.0900213711268751	-1.14871448818692	2.61908110388872	-1.64594990494781	2.72720092469826	-3.00313742387964	0.21729004713742	5.34934692079504	4.60167896864092	-2.96941342648448	1.50057237952627	-3.93484751862306	0.194551020160003	4.56665190619325	1.41686759204701	-0.399710472255458	-3.63166579839868	0.29319207844167	-2.09942769238757	2.90673011671633	-1.21399815315628	3.01982822902772	0.365730839510249	-3.43629689970568	6.24945615706127	0.475173781861902	-4.92580664756852	-0.677110418608503	1.64982463520996
Bcl.X.R.C_GBL9026338	2.63744204944925	-1.21045438499316	3.41787366715305	-2.08165398656204	-1.82690244667959	0.996914374375414	-0.485456868645381	-2.26909271530054	1.42179822757541	2.33418277833975	0.214119264267577	4.5754477881758	-1.32647831877642	1.64366435477018	0.719228827133307	-0.568313894991826	2.66455302055859	-1.12797012623701	-0.0111623975664938	-7.25146896290325	-1.9137663093257	1.6002970080608	-6.42954275351766	-1.76045388725227	-1.73014046193396	-1.85781292211169	-0.802539820706349	2.07429656099288	0.776584588457437	0.0151291369219714
Bcl.xL.R.V_GBL9026339	0.440851691138064	-0.356540047238584	0.0763529183525731	-4.86377052228758	-3.39621050040306	0.292543867776673	-3.89015750970891	5.4622244747955	2.11623386404235	0.406633683805488	4.38105728841707	0.89060639703286	-12.564227060033	-2.76133026095325	-0.541407655142401	-2.18587929463887	2.55965163338236	5.14714533984046	-4.4543850611704	6.29734176834702	-0.338570598249884	-2.71653052176951	0.274535803971456	-5.17316009941238	6.57862731968491	-3.6116713528505	-3.08233935497815	2.3629730605714	-1.86224393383018	1.1040729892606
Beclin.G.V_GBL9026330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta.Catenin.R.V_GBL9026194	-2.88928821831403	-3.66307491089106	-3.9682658030975	-5.20856232634012	3.031935018559	-4.66959457179636	-2.01903009678905	2.84400468033794	-1.4660428478992	5.65018468864784	-1.72877596061424	1.78810795928584	-2.65023360702925	-3.1423139276312	-2.52749507875094	1.12647972326734	-0.116678983520087	-0.275635409520411	1.62859062833905	-4.0728344860064	0.907119479495244	1.13237273029199	5.50401808176185	3.83406964830362	3.21437501612182	-3.13454309278579	-3.75555957664776	3.78830125666281	-0.927381109357563	-1.16130853702638
Bid.R.C_GBL9026340	0.328071032826838	-4.37030111101474	8.57471042028254	3.1005774380811	-1.97894857713838	-2.10063495079588	0.647189329373501	-4.55523615228597	3.78742268614856	1.81222183835967	1.78329970444111	1.03283419695118	-2.38482009713483	-3.03704146427681	5.18688603856793	-0.415408061207926	2.01433222201407	0.0546122774383336	2.09581967738637	-2.88704781916923	-0.345087571924188	6.58364043994945	-2.35388031474687	-3.43302326228521	-1.04321734810329	2.57376491043834	-0.684475408013503	-0.183066617298111	-0.481297004736056	-1.05980606146339
Bim.R.V_GBL9026351	-0.285080501718946	2.86236531961748	-1.39009919749788	0.344200710725446	-4.87177967907565	-4.64641661203681	-2.89145021585678	-2.04176399019067	-0.318591259646161	0.511846180330921	5.55513083818212	-0.433999168004891	-3.47437314927276	1.06712684867476	0.0378303608496892	1.38593478909637	-1.4068874836226	1.78730661479147	-1.59203202880957	3.26467410800944	0.546242746407729	1.55062381822283	-2.5958234305681	6.43158176620414	2.62771643525639	-6.02348581495844	0.95064144635822	-5.96360726844956	1.07843881012031	-1.36657534830993
c.Jun_pS73.R.C_GBL9026231	-0.296469907059692	-4.19701047305659	-3.095289266566	-1.18945647363311	3.71588225761182	0.316662436785798	-3.96671554584985	0.484478033524709	-5.24455926795552	-8.88102029873437	-0.987059646328712	-0.969769734688849	-2.50608805678433	0.488683738567543	-1.09983115275514	3.42612959923705	-3.06559763339874	4.35083111009777	-1.38781346016559	1.40648837918954	-5.76030650058448	2.05547566498914	2.57108619753789	2.49424261997501	2.08230106855433	7.22126966257861	2.51581627635863	3.04812884995423	3.17938136285777	0.950945163320286
c.Kit.R.V_GBL9026344	3.70675851610326	-1.52636097818451	-3.01803807588295	0.744490379553908	-2.10329433450221	4.92673360301221	0.28315056312346	2.19231356091661	-4.71348829970688	1.38625190996492	3.65399931956177	-2.89130338875846	3.81214507626093	-4.13836807832377	1.94977320311133	2.30123941342516	2.78914145854882	-3.67718237821193	-2.81224918897866	3.83121449707772	5.9672163495453	-2.11565436409991	2.24347998811915	-1.2149389413115	4.73112598051608	-6.42670689163198	2.48269469373441	-1.97039181046344	-3.78838357979393	-1.70571681266566
