abname	Zresp_auc	TS	spCorr	p_fdr(corr)	p_fdr(TS)
X14.3.3_epsilon.M.C_GBL9026348	5.22696174797634	-10.4539234959527	-0.0486324429512024	0.893867783280504	9.36905197665337e-11
X4E.BP1.R.V_GBL9026169	-19.8896205553035	11.5161770781989	-0.212121218442917	0.556305763058156	1.73440554034422e-12
X4E.BP1_pS65.R.V_GBL9026170	-23.7137077668609	-60.4881433200906	0.381818175315857	0.27625534225124	5.69213578071316e-27
X53BP1.R.C_GBL9026171	1.79141812732476	-10.1648616044294	-0.393939405679703	0.259997751350023	0.022810348384623
ACC_pS79.R.V_GBL9026172	-19.7701676835338	-31.4091049260371	0.381818175315857	0.27625534225124	4.47072674411648e-11
ACC1.R.C_GBL9026173	-21.7662918470475	-19.963155452304	0.733333349227905	0.0158005928169744	0.00044797204735559
AIB1.M.V_GBL9026302	0.496880292328372	-1.31307744027259	0.903030276298523	0.000343612565232743	0.957467057601528
Akt.R.V_GBL9026174	-15.9488854505149	-0.982689803254498	-0.284848481416702	0.425038160716097	0.208998175224808
Akt_pS473.R.V_GBL9026175	-16.7998392838397	-19.7050045354527	-0.393939405679703	0.259997751350023	0.00448577393698208
Akt_pT308.R.V_GBL9026176	0.202611248981703	-2.49994275364958	-0.66060608625412	0.0375883675272259	4.26829608271231e-12
alpha.Catenin.M.V_GBL9026304	22.9092120857616	-22.9092120857616	0.802435338497162	0.00521145970824932	1.72765411685981e-105
AMPK_alpha.R.C_GBL9026177	-15.8622904948902	-15.8622904948902	-0.182371661067009	0.614067755521479	1.59376182863952e-10
AMPK_pT172.R.V_GBL9026178	-11.0218567796033	-16.354727857402	-0.58787876367569	0.0738777217256548	1.45719753878254e-289
Annexin_I.R.V_GBL9026179	-17.2766228454187	12.2710183029389	-0.0424242429435253	0.907363816683007	3.25781358986191e-09
AR.R.V_GBL9026335	16.7468869542093	16.7468869542092	-0.793939411640167	0.00609992135778858	3.47731233593346e-14
Bad_pS112.R.V_GBL9026336	-16.8281328144732	-58.0366318386466	-0.0666666701436043	0.854813080743902	1.6417452984402e-12
Bak.R.C_GBL9026182	16.3901250926871	-16.3901250926871	-0.309090912342072	0.384841224999186	1.05809171853124e-06
Bax.R.V_GBL9026183	-16.0314198819646	8.97787476792625	-0.551515161991119	0.0984011689489896	0.0530268415304432
Bcl.2.M.V_GBL9026303	9.12895319664514	-10.4679117371185	-0.842424213886261	0.00222003275351312	0.957467057601528
