abName	corr	pval	adjPval
cMyc	0.939393937587738	5.48405364009241e-05	0.00204254065290925
STAT3pY705	0.939393937587738	5.48405364009241e-05	0.00204254065290925
CyclinE1	0.927272737026215	0.000112034447641074	0.00243274800592046
p53	0.899700224399567	0.000391673296721073	0.00515037290346698
TAZpS89	0.893621146678925	0.000491873064334847	0.00515037290346698
bCatenin	0.890909075737	0.000542144516154419	0.00515037290346698
Src	0.890909075737	0.000542144516154419	0.00515037290346698
Notch3	0.878787875175476	0.000813862205061078	0.00589081215091828
VASP	0.869304955005646	0.00108698415655106	0.00743240677679547
S6pS235	0.854545474052429	0.00163680247839526	0.00995175906864318
X53BP1	0.842424213886261	0.00222003275351312	0.0116360337425515
MSH6	0.793939411640167	0.00609992135778858	0.0243996854311543
XRCC1	0.793939411640167	0.00609992135778858	0.0243996854311543
RbpS807	0.769696950912476	0.00922195550412752	0.0341887130884728
PRAS40pT246	0.757575750350952	0.0111434480221821	0.040328669032659
mTORpS2448	0.745454549789429	0.0133301454837775	0.0460495934894132
Chk2pT68	0.733333349227905	0.0158005928169744	0.0533708912928913
Chk2	0.709090888500214	0.0216659289034102	0.0672085957820071
Rb	0.709090888500214	0.0216659289034102	0.0672085957820071
S6pS240	0.709090888500214	0.0216659289034102	0.0672085957820071
Caveolin1	0.699091374874115	0.0244709908617995	0.0743918122198705
MSH2	0.672727286815643	0.0330412174893608	0.0930049084885711
SrcpY527	0.672727286815643	0.0330412174893608	0.0930049084885711
Tau	0.66060608625412	0.0375883675272259	0.10202556900247
IGF1Rbeta	0.648484826087952	0.042540137217344	0.109594929780276
Rad51	0.648484826087952	0.042540137217344	0.109594929780276
Chk1	0.61398458480835	0.0589809699383195	0.144598506945557
HER2	0.612121224403381	0.0599721359081791	0.144694677111797
AktpT308	0.58787876367569	0.0738777217256548	0.165138436798522
BclXL	0.58787876367569	0.0738777217256548	0.165138436798522
CD31	0.563636362552643	0.0897240290701318	0.189417394703612
EGFR_CST2232	0.563636362552643	0.0897240290701318	0.189417394703612
SrcpY416	0.563636362552643	0.0897240290701318	0.189417394703612
cMet	0.55927312374115	0.0927887507709482	0.193203974208002
YB1	0.539393961429596	0.107593170598888	0.215186341197776
YB1pS102	0.527272701263428	0.117308086962265	0.231569210626809
AIB1	0.515151500701904	0.127552882234373	0.248564591020829
NF2	0.503030300140381	0.138333701029167	0.259589167363375
BclX	0.490909099578857	0.149655665128156	0.261467368959537
Bid	0.490909099578857	0.149655665128156	0.261467368959537
IRS1	0.478787869215012	0.161522937605969	0.278994164955765
Chk1pS345	0.454545468091965	0.186904795550308	0.308799227430944
VEGFR2	0.454545468091965	0.186904795550308	0.308799227430944
HER2pY1248	0.442424237728119	0.200422692056088	0.324087757367291
cKit	0.430303037166595	0.214492324409859	0.339612846982277
Smad1	0.425533890724182	0.220179182995772	0.345023049642859
EGFRpY1068	0.369696974754333	0.293050068174233	0.432462236528965
Bcl2	0.321212112903595	0.365468323548346	0.514362825734709
Paxillin	0.297873705625534	0.403203890473826	0.554186038737355
CyclinD1	0.285715609788895	0.423567776609975	0.566717547621463
AktpS473	0.272727280855179	0.44583832744257	0.579208767275817
mTOR	0.24848484992981	0.488776301908481	0.624319310000749
Smac	0.236363634467125	0.510885321006619	0.636512858959066
ERalpha	0.218845993280411	0.543550922019102	0.67170520444637
EGFRpY992	0.175757572054863	0.627188352148502	0.739012631988933
XIAP	0.175757572054863	0.627188352148502	0.739012631988933
YAP	0.175757572054863	0.627188352148502	0.739012631988933
Fibronectin	0.151976391673088	0.675124320056863	0.777415883701842
Rab25	0.13939394056797	0.700931882488681	0.789197378802071
Tuberin	0.13939394056797	0.700931882488681	0.789197378802071
Casp3_3ac	0.0666666701436043	0.854813080743902	0.921500626050164
cJunpS73	0.0424242429435253	0.907363816683007	0.964470630320399
Smad3	0.0424242429435253	0.907363816683007	0.964470630320399
X14_3_3e	0.0181818176060915	0.960240419386778	0.979574119105975
p38pT180	-0.00606060586869717	0.986742911614744	0.986742911614744
PCadherin	-0.0121581107378006	0.973408063804357	0.979854474822929
p27pT157	-0.0121581107378006	0.973408063804357	0.979854474822929
ECadherin	-0.0181818176060915	0.960240419386778	0.979574119105975
p70S6KpT389	-0.0181818176060915	0.960240419386778	0.979574119105975
cMetpY1235	-0.030303031206131	0.933772956124051	0.972147187197642
ERapS118	-0.030303031206131	0.933772956124051	0.972147187197642
IGFBP2	-0.030303031206131	0.933772956124051	0.972147187197642
PCNA	-0.0666666701436043	0.854813080743902	0.921500626050164
Rad50	-0.0666666701436043	0.854813080743902	0.921500626050164
GATA3	-0.0787878781557083	0.82871739605474	0.912790175364641
Bak	-0.103030301630497	0.776998466409483	0.862071291198842
JNKpT183	-0.127272725105286	0.726057019277377	0.811475492133539
CyclinB1	-0.13939394056797	0.700931882488681	0.789197378802071
NFkBp65pS536	-0.163636356592178	0.651477357000421	0.755912658504305
MEK1pS217	-0.170213550329208	0.638259362175065	0.746272485004691
HER3	-0.175757572054863	0.627188352148502	0.739012631988933
NCadherin	-0.20668788254261	0.566695142437	0.689101293203392
PTCH	-0.212121218442917	0.556305763058156	0.681923193426127
FAK	-0.236363634467125	0.510885321006619	0.636512858959066
INPP4B	-0.236363634467125	0.510885321006619	0.636512858959066
Rab11	-0.24848484992981	0.488776301908481	0.624319310000749
FOXO3a	-0.272727280855179	0.44583832744257	0.579208767275817
TFF1	-0.272727280855179	0.44583832744257	0.579208767275817
Claudin7	-0.284848481416702	0.425038160716097	0.566717547621463
ERCC1	-0.291794657707214	0.413326608319937	0.560943254148486
YAPpS127	-0.296969711780548	0.404701646709516	0.554186038737355
Beclin	-0.303952783346176	0.393201096325033	0.548317125150505
EGFR	-0.321212112903595	0.365468323548346	0.514362825734709
Mre11	-0.357575744390488	0.310376110839209	0.445067630637356
Smad4	-0.357575744390488	0.310376110839209	0.445067630637356
p27	-0.358664274215698	0.308798629283038	0.445067630637356
Bax	-0.369696974754333	0.293050068174233	0.432462236528965
p90RSKpT359	-0.369696974754333	0.293050068174233	0.432462236528965
MAPKpT202	-0.393939405679703	0.259997751350023	0.395196582052035
PARPcl	-0.393939405679703	0.259997751350023	0.395196582052035
EGFRpY1173	-0.406060606241226	0.244282293856507	0.378886823124378
CRafpS338	-0.430303037166595	0.214492324409859	0.339612846982277
X4EBP1pS65	-0.442424237728119	0.200422692056088	0.324087757367291
FOXO3apS318	-0.454545468091965	0.186904795550308	0.308799227430944
STAT5alpha	-0.466666668653488	0.173938595084903	0.297063668010171
KRas	-0.490909099578857	0.149655665128156	0.261467368959537
p27pT198	-0.490909099578857	0.149655665128156	0.261467368959537
aCatenin	-0.492403477430344	0.148230427669146	0.261467368959537
HER3pY1298	-0.498482555150986	0.142517909010665	0.261467368959537
AR	-0.503030300140381	0.138333701029167	0.259589167363375
CollagenVI	-0.503030300140381	0.138333701029167	0.259589167363375
CRaf	-0.551515161991119	0.0984011689489896	0.199426369069952
BadpS112	-0.553194046020508	0.0971687900286464	0.199426369069952
Casp9_clD330	-0.575757563114166	0.0815528230353175	0.179652595672004
Syk	-0.58787876367569	0.0738777217256548	0.165138436798522
GSK3pS9	-0.600000023841858	0.0666879863281258	0.155947291105771
Bim	-0.609767436981201	0.061239768711252	0.145444450689224
JNK2	-0.624242424964905	0.0537177668578734	0.133854107580275
PR	-0.626142680644989	0.0527782594375692	0.133704923908509
AMPKa	-0.656538009643555	0.0392043772799482	0.104545006079862
cIAP	-0.66060608625412	0.0375883675272259	0.10202556900247
CDK1	-0.674775183200836	0.0323117980379335	0.0930049084885711
Dvl3	-0.684848487377167	0.0288827966786322	0.0860820606892568
GSK3abpS21	-0.709090888500214	0.0216659289034102	0.0672085957820071
PKCalpha	-0.745454549789429	0.0133301454837775	0.0460495934894132
PI3Kp85	-0.769696950912476	0.00922195550412752	0.0341887130884728
PKCapS657	-0.769696950912476	0.00922195550412752	0.0341887130884728
ACCpS79	-0.806060612201691	0.0048620605246823	0.020528699993103
ACC1	-0.806060612201691	0.0048620605246823	0.020528699993103
AMPKpT172	-0.806060612201691	0.0048620605246823	0.020528699993103
AnnexinI	-0.818181812763214	0.00381492051076338	0.0175717550798798
MIG6	-0.818181812763214	0.00381492051076338	0.0175717550798798
Akt	-0.830303013324738	0.00294022813612127	0.0144166024738849
DJ1	-0.830303013324738	0.00294022813612127	0.0144166024738849
eEF2K	-0.842424213886261	0.00222003275351312	0.0116360337425515
eIF4E	-0.842424213886261	0.00222003275351312	0.0116360337425515
Snail	-0.842424213886261	0.00222003275351312	0.0116360337425515
PI3Kp110a	-0.866666674613953	0.0011735379121256	0.00743240677679547
PTEN	-0.866666674613953	0.0011735379121256	0.00743240677679547
GSK3ab	-0.878787875175476	0.000813862205061078	0.00589081215091828
MEK1	-0.878787875175476	0.000813862205061078	0.00589081215091828
p38MAPK	-0.878787875175476	0.000813862205061078	0.00589081215091828
TIGAR	-0.878787875175476	0.000813862205061078	0.00589081215091828
X4EBP1	-0.890909075737	0.000542144516154419	0.00515037290346698
eEF2	-0.890909075737	0.000542144516154419	0.00515037290346698
p70S6K	-0.890909075737	0.000542144516154419	0.00515037290346698
COX2	-0.903030276298523	0.000343612565232743	0.00515037290346698
PDK1pS241	-0.915151536464691	0.000204472206099204	0.00388497191588488
Stathmin	-0.927272737026215	0.000112034447641074	0.00243274800592046
Notch1	-0.936174511909485	6.71888372667517e-05	0.00204254065290925
Casp7_clD198	-0.951515138149261	2.27985739738035e-05	0.00173269162200907
p21	-0.951515138149261	2.27985739738035e-05	0.00173269162200907
