ID1	change	p-val	q-val
4E.BP1.R.V_GBL9026169	-0.8159318946451	0.00123425381475823	0.0402318935848714
53BP1.R.C_GBL9026171	-0.0276112790614054	0.0246932511218939	0.0214565962888699
AIB1.M.V_GBL9026302	-0.0792445424949981	0.00459606962057558	0.0115426250825431
Akt_pS473.R.V_GBL9026175	-1.04066038043079	0.00718782527895194	0.00956676454847775
alpha.Catenin.M.V_GBL9026304	0.349816668803829	0.000464872739034245	0.0193893337623692
AMPK_pT172.R.V_GBL9026178	-0.301034897196472	0.00184848294710974	0.0354103510909569
AR.R.V_GBL9026335	0.133379077870845	0.00757208181474511	0.0172220776338437
Bad_pS112.R.V_GBL9026336	-0.0791311109282975	0.00788379140757249	0.0402318935848714
Beclin.G.V_GBL9026330	0.0699121698015386	0.00146353298040767	0.0172220776338437
Bid.R.C_GBL9026340	0.172427386650997	0.00348850286505065	0.00832568940745554
Bim.R.V_GBL9026351	0.603004472197057	0.000464872739034245	0.00443888990613824
c.Kit.R.V_GBL9026344	0.0946481129125007	0.0023472571651208	0.0193893337623692
c.Myc.R.C_GBL9026241	-0.341518496054228	0.00263791435030581	0.026620140117967
Caspase.7_cleavedD198.R.C_GBL9026353	0.917297353998177	0.000464872739034245	0.00360231915972436
Cyclin_B1.R.V_GBL9026204	-1.02698928981964	0.000609739203450354	0.023394528093966
Cyclin_D1.R.V_GBL9026205	0.228582221398654	0.00185308176977869	0.0172220776338437
Cyclin_E1.M.V_GBL9026308	-0.57693454376994	0.000464872739034245	0.00696749761641114
E.Cadherin.R.V_GBL9026188	0.275130651156584	0.00219710098208454	0.00555301618447069
HER3_pY1298.R.C_GBL9026225	0.0988200990251992	0.00636798642034165	0.0172220776338437
IRS1.R.V_GBL9026228	-0.154817510685618	0.00361148545839891	0.0135155141659985
Mre11.R.C_GBL9026237	0.0446586169250242	0.0365206895280364	0.0154240814424578
MSH2.M.C_GBL9026316	-0.948655747892343	0.00134408629662275	0.00832568940745554
MSH6.R.C_GBL9026238	-0.163000053859071	0.00946593349430875	0.00555301618447069
NF2.R.C_GBL9026243	-0.235321286750787	0.00086301009075961	0.0135155141659985
Notch1.R.V_GBL9026244	0.834569930274521	0.000545119404631254	0.00443888990613824
Notch3.R.C_GBL9026246	-0.598292059018795	0.000557102562232267	0.023394528093966
p21.R.C_GBL9026247	1.64126039490947	0.000473765752057639	0.00186666759270212
p27_pT198.R.V_GBL9026250	0.239481965472418	0.00257376975898313	0.0452949763013048
PDK1_pS241.R.V_GBL9026258	0.22289100605806	0.000958499005301075	0.00428898749858308
PRAS40_pT246.R.V_GBL9026273	-0.516246948407669	0.000464872739034245	0.00428898749858308
PTCH.R.C_GBL9026274	0.420047389404125	0.000667259588248037	0.00956676454847775
Rb_pS807_S811.R.V_GBL9026280	-1.21240173538374	0.000464872739034245	0.00443888990613824
Smac.M.V_GBL9026324	0.537828971414868	0.000474082368885598	0.026620140117967
Snail.M.C_GBL9026326	-0.115404138474885	0.000464872739034245	0.023394528093966
Src_pY527.R.V_GBL9026286	0.511686313310399	0.000553826170702427	0.00403573136047936
STAT3_pY705.R.V_GBL9026287	0.058266203076546	0.0096133550982852	0.023394528093966
Stathmin.R.V_GBL9026289	0.0312455817546834	0.0120609225632097	0.023394528093966
TAZ_pS89.R.C_GBL9026290	0.132653404406816	0.00326381543031491	0.00832568940745554
TIGAR.R.V_GBL9026292	-0.0681349120412974	0.00821810642267555	0.00956676454847775
VASP.R.C_GBL9026294	0.184301424987499	0.000785302931709491	0.0154240814424578
XIAP.R.C_GBL9026296	-0.835349176008462	0.000673682495623894	0.0154240814424578
XRCC1.R.C_GBL9026297	0.0542733328607377	0.0365885557464565	0.0214565962888699
YAP.R.V_GBL9026298	0.331972312354571	0.00674143619796593	0.00428898749858308
YAP_pS127.R.C_GBL9026299	-0.842816202710045	0.000464872739034245	0.0214565962888699
YB.1_pS102.R.V_GBL9026333	0.141003300372278	0.000464872739034245	0.00443888990613824
