ID1 changeInclude TSavg Meta_FDRp
Histone.H3.R.V_GBL1033869 -6.60819597680644 -6.60819597680644 4.40027402034831e-07
Cyclophilin.F.M.V_GBL1033937 -4.87604684245897 -4.87604684245897 2.95866483687605e-06
CDK1.R.V_GBL1033788 -4.75702120013614 -4.75702120013614 0.00068619836167019
Cox2.R.C_GBL1033859 -4.51800295032865 -4.51800295032865 0.0088062923733618
Tyro3.R.V_GBL1033829 -4.32330019665974 -4.32330019665974 0.00206645797647463
Rb_pS807_S811.R.V_GBL1033721 -4.08375193021334 -4.08375193021334 0.0398647871549544
Caveolin.1.R.V_GBL1033687 -4.02907189523645 -4.02907189523645 0.00158825219360473
Src.M.V_GBL1033898 -3.59363650004052 -3.59363650004052 0.00272919057218147
TSC1.R.C_GBL1033841 -3.52631493259744 -3.52631493259744 0.0108003426122836
Myosin.11.R.V_GBL1033848 -3.15927421579168 -3.15927421579168 0.0125168438331504
TFRC.R.V_GBL1033849 -2.95384823629663 -2.95384823629663 0.0385897070622128
Transglutaminase.M.V_GBL1033901 -2.66221580273956 -2.66221580273956 0.0398647871549544
YAP.R.E_GBL1033881 -2.33636739719235 -2.33636739719235 0.0478553615961244
Porin.M.V_GBL1033946 2.64769206084069 2.64769206084069 0.0240221209720635
Pdcd4.R.C_GBL1033770 2.91776433792371 2.91776433792371 0.0398647871549544
X14.3.3.zeta.R.V_GBL1033883 2.93799348336019 2.93799348336019 0.0341159962244964
X14.3.3.beta.R.V_GBL1033882 3.04192725656817 3.04192725656817 0.0341159962244964
PMS2.R.V_GBL1033867 3.33671136167277 3.33671136167277 0.00833586304623677
mTOR.R.V_GBL1033803 3.37269308182907 3.37269308182907 0.0478553615961244
PARP1.R.V_GBL1033887 3.4408394494312 3.4408394494312 0.0125168438331504
JAB1.M.C_GBL1033943 3.6029612456601 3.6029612456601 0.0125168438331504
p70.S6K1.R.V_GBL1033810 4.07108872834625 4.07108872834625 0.000814299990927912
p53.R.C_GBL1033956 4.09824939970658 4.09824939970658 0.00393823511320187
A.Raf.R.V_GBL1033858 4.15147597545087 4.15147597545087 0.00068619836167019
FASN.R.V_GBL1033852 4.18107164636415 4.18107164636415 0.000494893759807647
PEA.15_pS116.R.V_GBL1033790 4.40315657977556 4.40315657977556 0.00833586304623677
SCD.M.V_GBL1033945 4.49071038135086 4.49071038135086 0.000160854153780343
G6PD.M.V_GBL1033940 4.5268102287568 4.5268102287568 0.000160854153780343
INPP4b.R.V_GBL1033826 4.70581560360915 4.70581560360915 2.95866483687605e-06
Bcl2.M.V_GBL1033931 4.74501442806815 4.74501442806815 0.0478553615961244
Caspase.7.cleaved.R.C_GBL1033686 4.95537195462639 4.95537195462639 4.40027402034831e-07
ATR.R.C_GBL1033779 4.96044365103435 4.96044365103435 0.0215900591466252
PDK1_pS241.R.V_GBL1033814 5.83039140178665 5.83039140178665 0.00404107054614249
MEK1_pS217_S221.R.V_GBL1033828 6.18309677482998 6.18309677482998 0.0394600332899115
FAK_pY397.R.V_GBL1033863 7.18982534691281 7.18982534691281 0.0215900591466252
b.Catenin_pT41_S45.R.V_GBL1033855 7.38042535235134 7.38042535235134 0.0215900591466252
p70.S6K_pT389.R.V_GBL1033811 7.45800298120015 7.45800298120015 0.00068619836167019
Shc_pY317.R.V_GBL1033791 7.85153907319654 7.85153907319654 0.00159519694599716
Mcl.1.R.V_GBL1033861 8.87552058802734 8.87552058802734 6.00319308576535e-08
mTOR_pS2448.R.C_GBL1033804 11.5113461921446 11.5113461921446 2.03611913479946e-11
