ID1 changeInclude TSavg Meta_FDRp
Akt_pT308.R.V_GBL1113312 -19.1549576836495 -19.1549576836495 1.03656957781731e-09
Akt_pS473.R.V_GBL1113186 -17.1740102411431 -17.1740102411431 3.42349650430087e-08
MAPK_pT202_Y204.R.V_GBL1113194 -13.4244859055992 -13.4244859055992 1.61684744809476e-06
Shc_pY317.R.V_GBL1113268 -13.1244510570708 -13.1244510570708 7.72988792697215e-10
ER.alpha_pS118.R.V_GBL1113187 -10.3186537238529 -10.3186537238529 1.81179118208152e-06
Stat3_pY705.R.V_GBL1113218 -9.9133422189144 -9.9133422189144 0.00405626896194127
FoxM1.R.V_GBL1113290 -9.73801950469291 -9.73801950469291 6.61251390472938e-10
Rb_pS807_S811.R.V_GBL1113212 -9.69966398766448 -9.69966398766448 1.81179118208152e-06
Bad_pS112.R.V_GBL1113156 -9.68262941376146 -9.68262941376146 1.81179118208152e-06
Src_pY416.R.C_GBL1113216 -8.81375576538871 -8.81375576538871 0.000286036166724812
c.Myc.R.C_GBL1113345 -8.56032990447659 -8.56032990447659 0.0279835978872775
JNK_pT183_Y185.R.V_GBL1113252 -7.8540543902878 -7.8540543902878 0.000393473798774726
Stathmin.1.R.V_GBL1113224 -7.33783928325116 -7.33783928325116 0.00966834435554676
b.Catenin_pT41_S45.R.V_GBL1113316 -6.74695575556085 -6.74695575556085 0.0290203306092452
Cyclin.D1.R.V_GBL1113338 -6.62036925060781 -6.62036925060781 0.0429474425369759
HER3_pY1289.R.C_GBL1113227 -6.38511336983857 -6.38511336983857 0.000189978062411173
mTOR_pS2448.R.C_GBL1113197 -6.31559174647458 -6.31559174647458 0.0096461032576787
MSH2.M.V_GBL1113360 -5.76857632556523 -5.76857632556523 0.0096461032576787
p38_pT180_Y182.R.V_GBL1113201 -5.56771820091925 -5.56771820091925 0.00588383820367726
ER.alpha.R.V_GBL1113339 -5.53305962798228 -5.53305962798228 0.0110519235245543
HER3.R.V_GBL1113344 -5.2749562148759 -5.2749562148759 0.000121878570799685
Pdcd.1L1.G.C_GBL1113407 -5.10557440270852 -5.10557440270852 0.00125904868331092
YAP_pS127.R.E_GBL1113233 -5.05230239094803 -5.05230239094803 0.0147084113618383
IRS1.R.V_GBL1113235 -5.00097928861606 -5.00097928861606 0.0189100538265773
Histone.H3.R.V_GBL1113412 -4.91524730384297 -4.91524730384297 0.0290203306092452
IGF1R.beta.R.V_GBL1113321 -4.75740988498472 -4.75740988498472 0.00464231476276951
Paxillin.R.C_GBL1113206 -4.39769140059048 -4.39769140059048 0.0217494261328076
Bcl2.R.S_GBL1113364 -4.39577104942037 -4.39577104942037 0.00405626896194127
X14.3.3.epsilon.M.C_GBL1113387 -4.28867940267366 -4.28867940267366 0.00464231476276951
GCN5L2.R.V_GBL1113332 -4.08028274010523 -4.08028274010523 0.00564491752602226
ACC_pS79.R.V_GBL1113152 -3.90460219676807 -3.90460219676807 0.0230522270010427
TSC1.R.C_GBL1113302 -3.74649406423498 -3.74649406423498 0.0138160741278907
Claudin.7.R.V_GBL1113250 -3.66655390294387 -3.66655390294387 0.0147084113618383
Cyclophilin.F.M.V_GBL1113399 -3.60836836105504 -3.60836836105504 0.0241889142321523
eEF2.R.C_GBL1113273 3.09059899125517 3.09059899125517 0.0490740910090701
G6PD.M.V_GBL1113395 3.47800300221585 3.47800300221585 0.0270671406597351
CD31.M.V_GBL1113383 3.55761528495879 3.55761528495879 0.0302490886391845
GPBB.R.V_GBL1113329 3.65162588220051 3.65162588220051 0.0210492654772951
A.Raf.R.V_GBL1113319 3.70139241292251 3.70139241292251 0.01509464836255
MIG6.M.V_GBL1113369 3.90679977462996 3.90679977462996 0.025087005922839
MSH6.R.C_GBL1113275 4.14727538504965 4.14727538504965 0.00790316969904562
Fibronectin.R.V_GBL1113188 4.43735864825994 4.43735864825994 0.0201575575083374
PMS2.R.V_GBL1113328 4.69440413074557 4.69440413074557 0.00588383820367726
SF2.M.V_GBL1113370 4.7908614650848 4.7908614650848 0.0114401942347007
Akt.R.V_GBL1113284 5.1192937504854 5.1192937504854 0.00564491752602226
MEK1.R.V_GBL1113195 5.42477081588047 5.42477081588047 0.000511516477346971
RSK.R.C_GBL1113230 5.43312268557849 5.43312268557849 0.00790316969904562
p38.R.V_GBL1113200 5.59917340802187 5.59917340802187 0.0002744343654213
Src_pY527.R.V_GBL1113217 6.21825041467354 6.21825041467354 0.025087005922839
FoxO3a_pS318_S321.R.C_GBL1113189 6.3687187990674 6.3687187990674 0.00638492675214302
EGFR.R.V_GBL1113288 7.95082869304978 7.95082869304978 2.75619629288063e-05
